DAYS,Date,ASX:ABY,ASX:AWC,ASX:ANN,ASX:ALX,ASX:ANZ,ASX:BHP,ASX:BXB,ASX:CSL,ASX:DTC,ASX:MQG,ASX:NXL,ASX:SHL,ASX:SYD,ASX:TYR,ASX:WBC,,,
1,15/03/2021,5.25,1.74,35.94,6.06,28.4,47.88,10.02,255.85,1,149.74,5.86,31.38,6.33,3.23,24.58,,,
2,16/03/2021,5.36,1.73,36.97,6.12,28.56,46.84,10.11,261.81,0.99,151.06,5.82,32.36,6.36,3.42,24.73,,,
3,17/03/2021,5.22,1.68,37.44,6.1,28.37,46.07,10.03,261,1.02,151.36,5.71,32.56,6.38,3.51,24.67,,,
4,18/03/2021,5.16,1.7,37.59,5.92,28.14,45.69,9.89,256.09,1.1,151.44,5.7,32.35,6.3,3.48,24.44,,,
5,19/03/2021,5.17,1.67,38.22,5.77,28.23,44.9,9.86,253.95,1.04,148.8,5.33,32.68,6.09,3.47,24.52,,,
6,22/03/2021,5.18,1.69,38.52,5.88,28.37,44.5,10.03,260.16,1.06,150.91,5.15,33.72,6.14,3.56,24.66,,,
7,23/03/2021,5,1.68,38.84,5.89,28,44.95,10.3,261,1.09,151.02,5.14,34.91,6.02,3.56,24.43,,,
8,24/03/2021,5,1.64,39.58,5.91,28,44.88,10.31,266.02,1.12,151.51,5.05,35.06,5.89,3.61,24.19,,,
9,25/03/2021,5.07,1.69,39.44,5.95,27.9,44.88,10.33,269.83,1.12,152.77,5.01,35.62,5.97,3.69,24.12,,,
10,26/03/2021,5.2,1.73,39.45,5.84,28.17,45.07,10.37,267.46,1.12,153.4,5.08,35.84,5.96,3.66,24.34,,,
11,29/03/2021,5.02,1.77,39.26,5.86,27.99,45.86,10.42,265.39,1.11,151.46,5.05,35.3,5.99,3.5,24.34,,,
12,30/03/2021,5.12,1.74,39.08,5.63,28.1,44.91,10.42,262.66,1.1,150.56,4.99,35.21,5.96,3.33,24.36,,,
13,31/03/2021,5.2,1.74,39.24,5.95,28.18,45.3,10.58,264.65,1.11,152.83,5.16,35.09,6.19,3.29,24.41,,,
14,1/04/2021,5.03,1.77,39.08,5.93,28.24,45.65,10.56,263,1.12,152.12,5.17,35.3,6.07,3.37,24.54,,,
15,6/04/2021,5.02,1.74,38.69,5.97,28.35,45.85,10.54,263.6,1.16,152.18,5.48,35.42,6.24,3.38,24.7,,,
16,7/04/2021,5.09,1.79,39.3,5.97,28.44,45.88,10.56,262.99,1.17,151.69,5.29,36.31,6.25,3.53,24.84,,,
17,8/04/2021,5.02,1.82,38.9,6.04,28.74,47.06,10.66,265.94,1.13,153.61,5.32,35.92,6.2,3.6,25.16,,,
18,9/04/2021,5,1.82,38.67,6.04,28.74,46.67,10.66,263.4,1.19,154.8,5.29,35.48,6.1,3.74,25.21,,,
19,12/04/2021,4.92,1.81,39.21,6.1,28.87,46.18,10.68,265.5,1.14,153.92,5.08,35.48,6.16,3.89,25.3,,,
20,13/04/2021,4.97,1.76,39.15,6.04,28.9,45.69,10.66,264.66,1.15,154.25,5.01,35.5,6.08,3.8,25.31,,,
21,14/04/2021,4.95,1.75,39.73,6.02,28.89,46.01,10.59,267.8,1.17,155.31,5.07,36.16,6.07,3.9,25.33,,,
22,15/04/2021,4.95,1.78,39.16,6,28.92,47.33,10.67,268.29,1.16,157.85,5.1,35.75,6.07,3.92,25.5,,,
23,16/04/2021,5,1.74,38.78,6,28.82,47.57,10.59,269.07,1.18,156.25,5.18,35.71,6.11,3.94,25.32,,,
